# DURATION     TID      FUNCTION [SOURCE]
 146.196 us [ 991956] | __slz_initialize(); /* src/slz.c:1335 */
   0.070 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.060 us [ 991956] |   bind_register_keywords(); /* src/listener.c:1282 */
   0.070 us [ 991956] |   stats_register_module(); /* src/stats.c:5092 */
   0.050 us [ 991956] |   stats_register_module(); /* src/stats.c:5092 */
   0.250 us [ 991956] |   hap_register_build_opts(); /* src/haproxy.c:316 */
   0.211 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.140 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.161 us [ 991956] |   register_mux_proto(); /* src/connection.c:1654 */
   0.170 us [ 991956] |   stats_register_module(); /* src/stats.c:5092 */
   0.060 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.121 us [ 991956] |   register_mux_proto(); /* src/connection.c:1654 */
   0.050 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.050 us [ 991956] |   register_mux_proto(); /* src/connection.c:1654 */
   0.060 us [ 991956] |   register_mux_proto(); /* src/connection.c:1654 */
   0.651 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.070 us [ 991956] |   stats_register_module(); /* src/stats.c:5092 */
   0.061 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.150 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.381 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.551 us [ 991956] |   hap_register_proxy_deinit(); /* src/init.c:166 */
   0.371 us [ 991956] |   hap_register_post_proxy_check(); /* src/init.c:118 */
   0.351 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.360 us [ 991956] |   http_res_keywords_register(); /* src/http_rules.c:58 */
   0.071 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.471 us [ 991956] |   tcp_res_cont_keywords_register(); /* src/tcp_rules.c:61 */
   0.210 us [ 991956] |   tcp_req_cont_keywords_register(); /* src/tcp_rules.c:56 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.070 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.331 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.210 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.221 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.270 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.191 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.190 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   0.191 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.271 us [ 991956] |   hap_register_server_deinit(); /* src/init.c:182 */
   0.120 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.391 us [ 991956] |   hap_register_post_server_check(); /* src/init.c:134 */
   0.130 us [ 991956] |   srv_register_keywords(); /* src/server.c:330 */
   0.151 us [ 991956] |   sample_register_convs(); /* src/sample.c:412 */
   2.044 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.060 us [ 991956] |   http_res_keywords_register(); /* src/http_rules.c:58 */
   0.070 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.070 us [ 991956] |   tcp_res_cont_keywords_register(); /* src/tcp_rules.c:61 */
   0.061 us [ 991956] |   tcp_req_cont_keywords_register(); /* src/tcp_rules.c:56 */
   0.741 us [ 991956] |   tcp_req_sess_keywords_register(); /* src/tcp_rules.c:51 */
   0.671 us [ 991956] |   tcp_req_conn_keywords_register(); /* src/tcp_rules.c:46 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.070 us [ 991956] |   sample_register_convs(); /* src/sample.c:412 */
   0.531 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.060 us [ 991956] |   http_res_keywords_register(); /* src/http_rules.c:58 */
   0.061 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.080 us [ 991956] |   tcp_res_cont_keywords_register(); /* src/tcp_rules.c:61 */
   0.050 us [ 991956] |   tcp_req_cont_keywords_register(); /* src/tcp_rules.c:56 */
   0.121 us [ 991956] |   flt_register_keywords(); /* src/filters.c:90 */
   0.371 us [ 991956] |   hap_register_per_thread_init(); /* src/init.c:210 */
   0.221 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.210 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.321 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.201 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.541 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.431 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.641 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.741 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.731 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.982 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   1.142 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   1.082 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   1.323 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.080 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.151 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.100 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.140 us [ 991956] |   acl_register_keywords(); /* src/acl.c:50 */
   0.080 us [ 991956] |   sample_register_convs(); /* src/sample.c:412 */
   0.481 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.341 us [ 991956] |   hap_register_pre_check(); /* src/init.c:88 */
   0.210 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   0.231 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   1.422 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.090 us [ 991956] |   tcp_req_cont_keywords_register(); /* src/tcp_rules.c:56 */
   0.090 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.091 us [ 991956] |   stats_register_module(); /* src/stats.c:5092 */
   0.140 us [ 991956] |   bind_register_keywords(); /* src/listener.c:1282 */
   0.130 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.141 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.200 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   0.211 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.210 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.211 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.140 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.391 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.131 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.390 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   3.858 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.280 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.220 us [ 991956] |   hap_register_post_proxy_check(); /* src/init.c:118 */
   0.070 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.221 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.200 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   0.230 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.191 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.080 us [ 991956] |   srv_register_keywords(); /* src/server.c:330 */
   0.110 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.251 us [ 991956] |   hap_register_server_deinit(); /* src/init.c:182 */
   0.190 us [ 991956] |   hap_register_server_deinit(); /* src/init.c:182 */
   0.211 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.220 us [ 991956] |   hap_register_post_server_check(); /* src/init.c:134 */
   0.191 us [ 991956] |   hap_register_post_server_check(); /* src/init.c:134 */
   0.080 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.221 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.180 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   1.613 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.151 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.070 us [ 991956] |   http_res_keywords_register(); /* src/http_rules.c:58 */
   0.080 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.130 us [ 991956] |   flt_register_keywords(); /* src/filters.c:90 */
   0.170 us [ 991956] |   http_after_res_keywords_register(); /* src/http_rules.c:63 */
   0.121 us [ 991956] |   http_res_keywords_register(); /* src/http_rules.c:58 */
   0.150 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   1.523 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.221 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.200 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.191 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.210 us [ 991956] |   hap_register_pre_check(); /* src/init.c:88 */
   0.071 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.060 us [ 991956] |   bind_register_keywords(); /* src/listener.c:1282 */
   0.110 us [ 991956] |   acl_register_keywords(); /* src/acl.c:50 */
   0.131 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.210 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.201 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   0.190 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.191 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   0.210 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.201 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.070 us [ 991956] |   http_after_res_keywords_register(); /* src/http_rules.c:63 */
   0.061 us [ 991956] |   http_res_keywords_register(); /* src/http_rules.c:58 */
   0.070 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.431 us [ 991956] |   tcp_check_keywords_register(); /* src/tcpcheck.c:2323 */
   0.080 us [ 991956] |   tcp_res_cont_keywords_register(); /* src/tcp_rules.c:61 */
   0.080 us [ 991956] |   tcp_req_cont_keywords_register(); /* src/tcp_rules.c:56 */
   0.110 us [ 991956] |   tcp_req_sess_keywords_register(); /* src/tcp_rules.c:51 */
   0.120 us [ 991956] |   tcp_req_conn_keywords_register(); /* src/tcp_rules.c:46 */
   0.080 us [ 991956] |   sample_register_convs(); /* src/sample.c:412 */
   0.100 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.251 us [ 991956] |   hap_register_per_thread_init(); /* src/init.c:210 */
   0.200 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.150 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.170 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   1.713 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.230 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
            [ 991956] |   sink_init() { /* src/sink.c:1375 */
            [ 991956] |     sink_new_fd() { /* src/sink.c:104 */
   0.201 us [ 991956] |       sink_find(); /* src/sink.c:46 */
   1.933 us [ 991956] |     } /* sink_new_fd */
            [ 991956] |     sink_new_fd() { /* src/sink.c:104 */
   0.330 us [ 991956] |       sink_find(); /* src/sink.c:46 */
   3.376 us [ 991956] |     } /* sink_new_fd */
            [ 991956] |     sink_new_buf() { /* src/sink.c:128 */
   0.461 us [ 991956] |       sink_find(); /* src/sink.c:46 */
            [ 991956] |       ring_new() { /* src/ring.c:54 */
   0.241 us [ 991956] |         ring_init(); /* src/ring.c:40 */
   5.390 us [ 991956] |       } /* ring_new */
   6.843 us [ 991956] |     } /* sink_new_buf */
  12.524 us [ 991956] |   } /* sink_init */
   0.070 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.371 us [ 991956] |   hap_register_per_thread_deinit(); /* src/init.c:224 */
   0.271 us [ 991956] |   hap_register_per_thread_init(); /* src/init.c:210 */
   0.230 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.151 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.110 us [ 991956] |   acl_register_keywords(); /* src/acl.c:50 */
   0.782 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.210 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   1.914 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.230 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.100 us [ 991956] |   flt_register_keywords(); /* src/filters.c:90 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.110 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.080 us [ 991956] |   sample_register_convs(); /* src/sample.c:412 */
   0.130 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.130 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.140 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
            [ 991956] |   pools_register_build_options() { /* src/pool.c:1071 */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.951 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   1.122 us [ 991956] |     } /* memprintf */
   0.250 us [ 991956] |     hap_register_build_opts(); /* src/haproxy.c:316 */
   1.683 us [ 991956] |   } /* pools_register_build_options */
   0.131 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.260 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.201 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.551 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.110 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.090 us [ 991956] |   flt_register_keywords(); /* src/filters.c:90 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.120 us [ 991956] |   register_mux_proto(); /* src/connection.c:1654 */
   0.060 us [ 991956] |   register_mux_proto(); /* src/connection.c:1654 */
   0.091 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.060 us [ 991956] |   flt_register_keywords(); /* src/filters.c:90 */
   0.090 us [ 991956] |   acl_register_keywords(); /* src/acl.c:50 */
   0.060 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.220 us [ 991956] |   hap_register_per_thread_init(); /* src/init.c:210 */
   0.091 us [ 991956] |   http_res_keywords_register(); /* src/http_rules.c:58 */
   0.130 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.130 us [ 991956] |   tcp_res_cont_keywords_register(); /* src/tcp_rules.c:61 */
   0.131 us [ 991956] |   tcp_req_cont_keywords_register(); /* src/tcp_rules.c:56 */
   0.140 us [ 991956] |   tcp_req_sess_keywords_register(); /* src/tcp_rules.c:51 */
   0.130 us [ 991956] |   tcp_req_conn_keywords_register(); /* src/tcp_rules.c:46 */
   0.210 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.201 us [ 991956] |   hap_register_per_thread_deinit(); /* src/init.c:224 */
   0.210 us [ 991956] |   hap_register_per_thread_init(); /* src/init.c:210 */
   0.201 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.060 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.051 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.110 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.070 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.060 us [ 991956] |   tcp_req_cont_keywords_register(); /* src/tcp_rules.c:56 */
   0.051 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.060 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
            [ 991956] |   comp_register_build_opts() { /* src/compression.c:716 */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.781 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.892 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.742 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.862 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   1.272 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   1.383 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.972 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   1.082 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   3.356 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   3.466 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.781 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.912 us [ 991956] |     } /* memprintf */
   0.271 us [ 991956] |     hap_register_build_opts(); /* src/haproxy.c:316 */
   9.428 us [ 991956] |   } /* comp_register_build_opts */
   0.070 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.221 us [ 991956] |   __raw_sock_init(); /* src/raw_sock.c:484 */
   0.080 us [ 991956] |   acl_register_keywords(); /* src/acl.c:50 */
   0.271 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.230 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.241 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.070 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.070 us [ 991956] |   sample_register_convs(); /* src/sample.c:412 */
   0.340 us [ 991956] |   __xprt_handshake_init(); /* src/xprt_handshake.c:294 */
   0.221 us [ 991956] |   _do_register(); /* src/ev_select.c:308 */
   0.190 us [ 991956] |   hap_register_build_opts(); /* src/haproxy.c:316 */
   0.211 us [ 991956] |   cfg_register_postparser(); /* src/cfgparse.c:4358 */
   2.114 us [ 991956] |   cfg_register_section(); /* src/cfgparse.c:4326 */
   0.170 us [ 991956] |   srv_register_keywords(); /* src/server.c:330 */
   0.421 us [ 991956] |   bind_register_keywords(); /* src/listener.c:1282 */
   0.211 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.220 us [ 991956] |   hap_register_per_thread_free(); /* src/init.c:238 */
   0.201 us [ 991956] |   hap_register_per_thread_alloc(); /* src/init.c:196 */
            [ 991956] |   regex_register_build_options() { /* src/regex.c:406 */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.851 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.972 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.821 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.932 us [ 991956] |     } /* memprintf */
   0.221 us [ 991956] |     hap_register_build_opts(); /* src/haproxy.c:316 */
   2.525 us [ 991956] |   } /* regex_register_build_options */
   0.080 us [ 991956] |   bind_register_keywords(); /* src/listener.c:1282 */
   0.191 us [ 991956] |   hap_register_build_opts(); /* src/haproxy.c:316 */
   0.200 us [ 991956] |   hap_register_per_thread_deinit(); /* src/init.c:224 */
   0.231 us [ 991956] |   hap_register_per_thread_init(); /* src/init.c:210 */
   0.230 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.080 us [ 991956] |   acl_register_keywords(); /* src/acl.c:50 */
   0.180 us [ 991956] |   hap_register_build_opts(); /* src/haproxy.c:316 */
   0.150 us [ 991956] |   flt_register_keywords(); /* src/filters.c:90 */
   0.081 us [ 991956] |   http_res_keywords_register(); /* src/http_rules.c:58 */
   0.120 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.080 us [ 991956] |   tcp_res_cont_keywords_register(); /* src/tcp_rules.c:61 */
